journal_title,issn_print,issn_online,source,area,rank,active_status,source_type,best_rank,area_group,major_group
Indian Journal of Labour Economics,0971-7927,0019-5308,ABDC,Applied economics,C ,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Indian Journal of Labour Economics,0971-7927,0019-5308,Scimago,Economics and Econometrics,Q3,,,Q3,"Economics, Econometrics and Finance","Business, Economics & Management"
Indian Journal of Labour Economics,0971-7927,0019-5308,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Indian Journal of Marketing,0973-8703,,ABDC,Marketing,C,,,,"Business, Management and Accounting","Business, Economics & Management"
Indian Journal of Marketing,0973-8703,,Scimago,Marketing,Q3,,,Q3,"Business, Management and Accounting","Business, Economics & Management"
Indian Journal of Marketing,0973-8703,,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Indonesian Journal of Sustainability Accounting and Management,2597-6214,2597-6222,ABDC,"Accounting, auditing and accountability",C,,,,"Business, Management and Accounting","Business, Economics & Management"
Indonesian Management and Accounting Research,1411-8858,2442-9724,ABDC,"Accounting, auditing and accountability",C ,,,,"Business, Management and Accounting","Business, Economics & Management"
Industrial Law Journal,0305-9332,1464-3669,ABDC,Commercial law,A ,,,,Social Sciences,Social Sciences & Humanities
Industrial Law Journal,0305-9332,1464-3669,Scimago,Law,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
Industrial Law Journal,0305-9332,1464-3669,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Industrial Management & Data Systems,0263-5577,1758-5783,ABDC,Information systems,A,,,,Computer Science,"Tech, Data & Quantitative Methods"
Industrial Management & Data Systems,0263-5577,1758-5783,AJG,Management Science,2,,,,Decision Sciences,"Business, Economics & Management"
Industrial Management & Data Systems,0263-5577,1758-5783,AJG,Operations Research,2,,,,Decision Sciences,"Business, Economics & Management"
Industrial Management & Data Systems,0263-5577,1758-5783,AJG,Production & Operations Management,2,,,,Decision Sciences,"Business, Economics & Management"
Industrial Management & Data Systems,0263-5577,1758-5783,Scimago,Computer Science Applications,Q1,,,Q1,Computer Science,"Tech, Data & Quantitative Methods"
Industrial Management & Data Systems,0263-5577,1758-5783,Scimago,Industrial Relations,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Industrial Management & Data Systems,0263-5577,1758-5783,Scimago,Industrial and Manufacturing Engineering,Q1,,,Q1,Engineering,"Tech, Data & Quantitative Methods"
Industrial Management & Data Systems,0263-5577,1758-5783,Scimago,Management Information Systems,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Industrial Management & Data Systems,0263-5577,1758-5783,Scimago,Strategy and Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Industrial Management & Data Systems,0263-5577,1758-5783,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Industrial Management & Data Systems,0263-5577,1758-5783,Scopus,Computer Science,,Active,Journal,,Computer Science,"Tech, Data & Quantitative Methods"
Industrial Management & Data Systems,0263-5577,1758-5783,Scopus,Engineering,,Active,Journal,,Engineering,"Tech, Data & Quantitative Methods"
Industrial Marketing Management,0019-8501,1873-2062,ABDC,Marketing,A*,,,,"Business, Management and Accounting","Business, Economics & Management"
Industrial Marketing Management,0019-8501,1873-2062,AJG,Marketing,3,,,,"Business, Management and Accounting","Business, Economics & Management"
Industrial Marketing Management,0019-8501,1873-2062,Scimago,Marketing,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Industrial Marketing Management,0019-8501,1873-2062,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Industrial Relations Journal,0019-8692,1468-2338,ABDC,Human resources and industrial relations,A ,,,,"Business, Management and Accounting","Business, Economics & Management"
Industrial Relations Journal,0019-8692,1468-2338,AJG,Human Resource Management,3,,,,"Business, Management and Accounting","Business, Economics & Management"
Industrial Relations Journal,0019-8692,1468-2338,AJG,Industrial Relations,3,,,,"Business, Management and Accounting","Business, Economics & Management"
Industrial Relations Journal,0019-8692,1468-2338,AJG,Organization Behavior/Studies,3,,,,"Business, Management and Accounting","Business, Economics & Management"
Industrial Relations Journal,0019-8692,1468-2338,Scimago,Industrial Relations,Q2,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
Industrial Relations Journal,0019-8692,1468-2338,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Industrial Relations: a journal of economy and society,0019-8676,1468-232X,ABDC,Human resources and industrial relations,A* ,,,,"Business, Management and Accounting","Business, Economics & Management"
Industrial Relations: a journal of economy and society,0019-8676,1468-232X,AJG,Human Resource Management,4,,,,"Business, Management and Accounting","Business, Economics & Management"
Industrial Relations: a journal of economy and society,0019-8676,1468-232X,AJG,Industrial Relations,4,,,,"Business, Management and Accounting","Business, Economics & Management"
Industrial Relations: a journal of economy and society,0019-8676,1468-232X,AJG,Organization Behavior/Studies,4,,,,"Business, Management and Accounting","Business, Economics & Management"
Industrial Relations: a journal of economy and society,0019-8676,1468-232X,Scimago,Industrial Relations,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Industrial Relations: a journal of economy and society,0019-8676,1468-232X,Scimago,Management of Technology and Innovation,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Industrial Relations: a journal of economy and society,0019-8676,1468-232X,Scimago,Organizational Behavior and Human Resource Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Industrial Relations: a journal of economy and society,0019-8676,1468-232X,Scimago,Strategy and Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Industrial Relations: a journal of economy and society,0019-8676,1468-232X,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Industrial and Corporate Change,0960-6491,1464-3650,ABDC,"Strategy, management and organisational behaviour",A ,,,,"Business, Management and Accounting","Business, Economics & Management"
Industrial and Corporate Change,0960-6491,1464-3650,AJG,Economics,3,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Industrial and Corporate Change,0960-6491,1464-3650,Scimago,Economics and Econometrics,Q1,,,Q1,"Economics, Econometrics and Finance","Business, Economics & Management"
Industrial and Corporate Change,0960-6491,1464-3650,Scimago,Management of Technology and Innovation,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Industrial and Corporate Change,0960-6491,1464-3650,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Industrial and Corporate Change,0960-6491,1464-3650,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Industrial and Organizational Psychology: perspectives on science & practice,1754-9426,1754-9434,ABDC,"Strategy, management and organisational behaviour",B ,,,,"Business, Management and Accounting","Business, Economics & Management"
Industrial and Organizational Psychology: perspectives on science & practice,1754-9426,1754-9434,Scimago,Applied Psychology,Q2,,,Q2,Psychology,Social Sciences & Humanities
Industrial and Organizational Psychology: perspectives on science & practice,1754-9426,1754-9434,Scimago,Social Psychology,Q2,,,Q2,Psychology,Social Sciences & Humanities
Industrial and Organizational Psychology: perspectives on science & practice,1754-9426,1754-9434,Scopus,Psychology,,Active,Journal,,Psychology,Social Sciences & Humanities
Industry and Higher Education,0950-4222,2043-6858,ABDC,"Strategy, management and organisational behaviour",C ,,,,"Business, Management and Accounting","Business, Economics & Management"
Industry and Higher Education,0950-4222,2043-6858,Scimago,Business and International Management,Q2,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Industry and Higher Education,0950-4222,2043-6858,Scimago,Education,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
Industry and Higher Education,0950-4222,2043-6858,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Industry and Higher Education,0950-4222,2043-6858,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Industry and Innovation,1366-2716,1469-8390,ABDC,"Strategy, management and organisational behaviour",A,,,,"Business, Management and Accounting","Business, Economics & Management"
Industry and Innovation,1366-2716,1469-8390,AJG,Innovation,3,,,,General,"Applied Sciences, Sustainability & Interdisciplinary"
Industry and Innovation,1366-2716,1469-8390,Scimago,"Business, Management and Accounting (miscellaneous)",Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Industry and Innovation,1366-2716,1469-8390,Scimago,Management of Technology and Innovation,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Industry and Innovation,1366-2716,1469-8390,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Informatics for Health and Social Care,1753-8157,1753-8165,ABDC,Information systems,C ,,,,Computer Science,"Tech, Data & Quantitative Methods"
Informatics for Health and Social Care,1753-8157,1753-8165,Scimago,Health Informatics,Q2,,,Q1,Medicine,Healthcare & Medical Systems
Informatics for Health and Social Care,1753-8157,1753-8165,Scimago,Health Information Management,Q2,,,Q1,Health Professions,Healthcare & Medical Systems
Informatics for Health and Social Care,1753-8157,1753-8165,Scimago,Nursing (miscellaneous),Q1,,,Q1,Nursing,Healthcare & Medical Systems
Informatics for Health and Social Care,1753-8157,1753-8165,Scopus,Health Professions,,Active,Journal,,Health Professions,Healthcare & Medical Systems
Informatics for Health and Social Care,1753-8157,1753-8165,Scopus,Medicine,,Active,Journal,,Medicine,Healthcare & Medical Systems
Informatics for Health and Social Care,1753-8157,1753-8165,Scopus,Nursing,,Active,Journal,,Nursing,Healthcare & Medical Systems
Information & Management,0378-7206,1872-7530,ABDC,Information systems,A* ,,,,Computer Science,"Tech, Data & Quantitative Methods"
Information & Management,0378-7206,1872-7530,AJG,Knowledge Management,3,,,,General,"Applied Sciences, Sustainability & Interdisciplinary"
Information & Management,0378-7206,1872-7530,AJG,Management Information Systems,3,,,,"Business, Management and Accounting","Business, Economics & Management"
Information & Management,0378-7206,1872-7530,Scimago,Information Systems,Q1,,,Q1,Computer Science,"Tech, Data & Quantitative Methods"
Information & Management,0378-7206,1872-7530,Scimago,Information Systems and Management,Q1,,,Q1,Computer Science,"Tech, Data & Quantitative Methods"
Information & Management,0378-7206,1872-7530,Scimago,Management Information Systems,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Information & Management,0378-7206,1872-7530,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Information & Management,0378-7206,1872-7530,Scopus,Computer Science,,Active,Journal,,Computer Science,"Tech, Data & Quantitative Methods"
